,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,Question_7,Question_9,Question_14,Question_15
8525,PCYNH,109,9,FA12,CSE,30,755935,Ord,Richard,169,97,4.845360825,4.845360825,4.391752577,4.587628866,4.742268041
43231,PCYNH,109,11,FA13,CSE,30,785785,Ord,Richard,124,45,4.711111111,4.711111111,4.3555555560000005,4.511111111,4.6
43252,PCYNH,109,11,FA13,CSE,30,785788,Ord,Richard,183,53,4.6981132080000005,4.6981132080000005,4.346153846,4.557692308,4.603773585
85321,PCYNH,109,46,FA14,CSE,30,817631,Ord,Richard,112,39,4.692307692,4.692307692,4.307692308,4.58974359,4.641025641000001
85342,PCYNH,109,46,FA14,CSE,30,817634,Ord,Richard,135,38,4.5,4.5,4.135135135,4.552631579,4.3947368419999995
428974,LEDDN,AUD  ,7,SP13,CSE,30,777001,Ord,Richard,194,39,4.897435897,4.897435897,4.179487179,4.512820513,4.615384615
465165,CENTR,115,13,SP14,CSE,30,809002,Ord,Richard,169,57,4.6491228069999995,4.6491228069999995,4.333333333,4.543859649,4.472727273
465186,CENTR,214,13,SP14,CSE,30,809005,Ord,Richard,137,45,4.733333333,4.733333333,4.4,4.6222222219999995,4.6
504674,LEDDN,AUD  ,48,SP15,CSE,30,839492,Ord,Richard,161,68,4.602941176,4.602941176,4.397058824,4.544117647,4.5373134330000005
504695,LEDDN,AUD  ,48,SP15,CSE,30,839495,Ord,Richard,160,67,4.582089552,4.582089552,4.23880597,4.492537313,4.47761194
550453,CENTR,216,71,SP16,CSE,30,867299,Ord,Richard,98,43,4.76744186,4.76744186,4.279069767,4.604651163,4.6428571430000005
550474,WLH  ,2001,71,SP16,CSE,30,867305,Ord,Richard,359,139,4.776978417,4.776978417,4.264285714,4.664285714,4.8142857139999995
601394,CICC ,101,81,SP17,CSE,30,903674,Ord,Richard,191,52,4.807692308,4.807692308,4.115384615,4.461538462,4.903846154
601415,CENTR,115,81,SP17,CSE,30,903678,Ord,Richard,103,32,4.90625,4.90625,4.46875,4.71875,4.90625
655192,PCYNH,106,90,SP18,CSE,30,938548,Ord,Richard,192,61,4.475409836,4.475409836,3.426229508,4.2459016389999995,4.467741935
655213,WLH  ,2001,90,SP18,CSE,30,938550,Ord,Richard,252,67,4.611940299,4.611940299,3.746268657,4.484848485,4.626865672
697448,CENTR,115,8,WI13,CSE,30,766822,Ord,Richard,179,59,4.847457627,4.847457627,4.6610169489999995,4.728813559,4.796610169
734142,WLH  ,2001,12,WI14,CSE,30,797360,Ord,Richard,174,57,4.684210526,4.684210526,4.473684211,4.578947368,4.6140350880000005
777463,CENTR,119,47,WI15,CSE,30,828249,Ord,Richard,173,58,4.620689655,4.620689655,4.310344828,4.551724138,4.637931034
777484,CENTR,119,47,WI15,CSE,30,828251,Ord,Richard,125,46,4.4130434780000005,4.4130434780000005,4.130434783,4.326086957,4.295454545
827029,WLH  ,2001,70,WI16,CSE,30,860909,Ord,Richard,92,38,4.684210526,4.684210526,4.1578947369999995,4.6315789469999995,4.702702703
827050,PCYNH,106,70,WI16,CSE,30,860915,Ord,Richard,166,57,4.5964912280000005,4.5964912280000005,4.214285714,4.535714286,4.714285714
881925,SOLIS,107,80,WI17,CSE,30,894541,Ord,Richard,266,84,4.714285714,4.714285714,4.2023809519999995,4.4880952380000005,4.722891566
881946,CENTR,101,80,WI17,CSE,30,894543,Ord,Richard,108,33,4.727272727,4.727272727,4.333333333,4.606060606000001,4.848484848
940966,PETER,108,89,WI18,CSE,30,927460,Ord,Richard,126,55,4.6727272730000005,4.6727272730000005,4.0,4.527272727,4.6
940987,SOLIS,107,89,WI18,CSE,30,927462,Ord,Richard,121,53,4.622641509,4.622641509,4.076923077,4.557692308,4.79245283
1001974,CENTR,105,99,WI19,CSE,30,961464,Ord,Richard,123,35,4.657142857,4.657142857,4.171428571,4.428571429,4.484848485
1001995,WLH  ,2005,99,WI19,CSE,30,961466,Ord,Richard,128,34,4.705882353,4.705882353,4.323529412,4.558823529,4.7352941180000006
