,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,Question_7,Question_9,Question_14,Question_15
133560,EBU3B,B230 ,56,FA15,CSE,8A,849741,Cao,Yingjun,46,40,3.9,3.9,3.925,4.512820513,4.512820513
133581,EBU3B,B230 ,56,FA15,CSE,8A,849742,Cao,Yingjun,49,41,3.8048780489999996,3.8048780489999996,3.682926829,4.43902439,4.325
133602,EBU3B,B230 ,56,FA15,CSE,8A,849743,Cao,Yingjun,48,39,4.025641026000001,4.025641026000001,4.025641026000001,4.435897436,4.6315789469999995
133623,EBU3B,B230 ,56,FA15,CSE,8A,849746,Cao,Yingjun,48,45,4.511111111,4.511111111,4.3555555560000005,4.6222222219999995,4.568181818
133644,EBU3B,B230 ,56,FA15,CSE,8A,849747,Cao,Yingjun,47,38,4.236842105,4.236842105,4.184210526,4.447368421,4.421052632
133665,EBU3B,B230 ,56,FA15,CSE,8A,849748,Cao,Yingjun,50,42,4.2619047619999995,4.2619047619999995,3.9756097560000003,4.523809524,4.523809524
189033,EBU3B,B230 ,79,FA16,CSE,8A,882229,Cao,Yingjun,62,59,4.186440678,4.186440678,3.966101695,4.694915254,4.7241379310000005
189054,EBU3B,B230 ,79,FA16,CSE,8A,882230,Cao,Yingjun,61,55,4.2909090910000005,4.2909090910000005,4.163636363999999,4.563636364,4.6
189075,EBU3B,B230 ,79,FA16,CSE,8A,882231,Cao,Yingjun,63,59,4.474576271,4.474576271,4.1578947369999995,4.728813559,4.75862069
189096,EBU3B,B230 ,79,FA16,CSE,8A,882232,Cao,Yingjun,60,59,4.508474576,4.508474576,4.288135593,4.677966102,4.745762711999999
189117,EBU3B,B230 ,79,FA16,CSE,8A,882233,Cao,Yingjun,60,55,4.381818182,4.381818182,4.3272727269999995,4.690909091,4.618181818
189138,EBU3B,B230 ,79,FA16,CSE,8A,882234,Cao,Yingjun,59,57,4.421052632,4.421052632,4.3684210530000005,4.754385965,4.75
189285,CENTR,115,79,FA16,CSE,8B,882251,Cao,Yingjun,88,76,4.565789474,4.565789474,4.2933333330000005,4.813333333,4.693333333
248407,EBU3B,B230 ,88,FA17,CSE,8A,918073,Cao,Yingjun,52,44,4.1363636360000005,4.1363636360000005,3.977272727,4.6,4.555555556
248428,EBU3B,B230 ,88,FA17,CSE,8A,918074,Cao,Yingjun,55,44,4.227272727,4.227272727,3.9090909089999997,4.545454545,4.568181818
248449,EBU3B,B230 ,88,FA17,CSE,8A,918075,Cao,Yingjun,58,47,4.29787234,4.29787234,3.958333333,4.583333333,4.659574468
248470,EBU3B,B230 ,88,FA17,CSE,8A,918085,Cao,Yingjun,47,38,4.1578947369999995,4.1578947369999995,4.1,4.325,4.512820513
248491,EBU3B,B230 ,88,FA17,CSE,8A,918086,Cao,Yingjun,46,39,4.282051282,4.282051282,3.8717948719999997,4.575,4.6
248512,EBU3B,B230 ,88,FA17,CSE,8A,918087,Cao,Yingjun,46,36,4.166666667,4.166666667,3.9444444439999997,4.5,4.6388888889999995
248533,EBU3B,B230 ,88,FA17,CSE,8A,918091,Cao,Yingjun,44,38,4.1578947369999995,4.1578947369999995,4.315789474,4.552631579,4.763157895
248554,EBU3B,B230 ,88,FA17,CSE,8A,918092,Cao,Yingjun,45,41,4.243902439,4.243902439,4.0975609760000005,4.523809524,4.6428571430000005
248575,EBU3B,B230 ,88,FA17,CSE,8A,918093,Cao,Yingjun,48,40,4.4,4.4,4.125,4.564102564,4.666666667
311023,CENTR,212,98,FA18,CSE,8B,947784,Cao,Yingjun,108,78,4.448717949,4.448717949,4.08974359,4.717948718,4.653846154
550626,EBU3B,B230 ,71,SP16,CSE,8A,867231,Cao,Yingjun,63,54,4.5,4.5,4.259259258999999,4.685185185,4.703703704
550647,EBU3B,B230 ,71,SP16,CSE,8A,867232,Cao,Yingjun,61,56,4.3571428569999995,4.3571428569999995,4.303571429,4.618181818,4.625
550668,EBU3B,B230 ,71,SP16,CSE,8A,867233,Cao,Yingjun,64,58,4.1724137930000005,4.1724137930000005,4.155172414,4.6724137930000005,4.6315789469999995
550689,PCYNH,109,71,SP16,CSE,8B,867235,Cao,Yingjun,112,87,4.390804598,4.390804598,4.068965517,4.465116279,4.482758621
550710,PCYNH,106,71,SP16,CSE,8B,867246,Cao,Yingjun,155,128,4.3359375,4.3359375,4.125984252,4.5703125,4.5703125
655334,EBU3B,B240 ,90,SP18,CSE,8A,938506,Cao,Yingjun,51,38,4.473684211,4.473684211,4.1315789469999995,4.552631579,4.684210526
655355,EBU3B,B240 ,90,SP18,CSE,8A,938509,Cao,Yingjun,44,39,4.282051282,4.282051282,4.263157895,4.526315789,4.684210526
655376,EBU3B,B240 ,90,SP18,CSE,8A,939979,Cao,Yingjun,50,41,4.0,4.0,3.7317073169999997,4.425,4.487804878
