,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,know_rating,prep_rating,audible_rating,expl_rating,attent_rating,note_rating,stimu_rating,rec_course_rating,rec_professor_rating
6005,PETER,110,9,FA12,COGS,1,751912,Creel,Sarah,55,57,4.263157895,4.391111111000001,4.277777777666667,4.496296296333333,3.8896296296666666,3.7155555556666666,3.719259259333333,3.838518518666666,0.8296296296666666,0.8696296296666667
6530,CENTR,115,9,FA12,COGS,11,751622,Boyle,Mary E. T.,41,31,4.741935484,4.714573732666666,4.719534050333333,4.571524577333334,4.392761136666667,4.282002048333333,3.4915194570000003,4.624775985666667,0.921626984,0.9375
6684,SOLIS,104,9,FA12,COGS,17,751631,Johnson,Christine M.,48,41,4.6829268289999995,4.6470189699999995,4.5426829269999995,4.490514905,4.466124661,3.8035230355,3.907352941,4.5040650410000005,0.9234417340000001,0.9200542005000001
6747,CENTR,115,9,FA12,COGS,3,751615,Boyle,Mary E. T.,28,9,4.333333333,4.151963715999999,4.143793123,4.293288583000001,4.1566037735,3.7850599707500003,3.96400862075,4.2944072835,0.8925503994999999,0.9437321937500001
40567,PCYNH,121,11,FA13,COGS,1,783453,Boyle,Mary E. T.,56,28,4.25,3.9567918191999993,3.952377758,3.9765769230000005,3.7207540878000005,3.4949542482,3.6532178144,4.0073901542,0.8357994019999999,0.8841380262000001
40588,CENTR,222,11,FA13,COGS,1,783454,Boyle,Mary E. T.,61,36,3.8055555560000003,4.28848339175,4.1028365385,4.3116346155,3.78894667825,3.70606206275,3.62513986025,3.824446387,0.8311669580000001,0.8511669580000001
40609,PETER,103,11,FA13,COGS,1,783455,Boyle,Mary E. T.,65,29,4.24137931,4.2994152046666665,4.517543859666667,4.511988304,4.3,4.1181286550000005,4.119298245666666,4.432748537999999,0.9247863246666667,0.9247863246666667
40630,CENTR,222,11,FA13,COGS,1,783456,Boyle,Mary E. T.,62,35,4.028571428999999,4.517061403666667,4.385307017666666,4.322850877333334,4.274429824666666,3.746798245666666,3.850511696,4.426973684333333,0.8614912280000001,0.899868421
40651,WLH  ,2205,11,FA13,COGS,1,783457,Boyle,Mary E. T.,69,34,4.0,3.5,3.6,3.857142857,3.166666667,2.285714286,3.285714286,3.8125,0.625,0.75
40672,PCYNH,121,11,FA13,COGS,1,783458,Boyle,Mary E. T.,56,22,4.181818182,3.5555555560000003,4.1111111110000005,3.7,2.7,2.5,3.2,3.416666667,0.41666666700000005,0.5
41155,SOLIS,109,11,FA13,COGS,11,783466,Boyle,Mary E. T.,38,22,4.727272727,3.8,3.875,3.7058823530000002,3.8125,3.470588235,3.9375,4.058823529,0.882352941,0.9411764709999999
41176,SOLIS,110,11,FA13,COGS,11,783467,Boyle,Mary E. T.,41,18,4.833333333,3.5,3.666666667,3.5,3.4444444439999997,3.111111111,3.4444444439999997,3.727272727,0.666666667,0.833333333
41197,SOLIS,110,11,FA13,COGS,11,783468,Boyle,Mary E. T.,29,13,4.692307692,3.333333333,3.5,3.571428571,3.6,3.142857143,3.285714286,4.0,0.857142857,0.857142857
41218,SOLIS,109,11,FA13,COGS,11,783469,Boyle,Mary E. T.,32,19,4.421052632,3.454545455,3.727272727,3.75,3.8181818180000002,3.285714286,3.642857143,3.785714286,0.857142857,0.7857142859999999
41344,YORK ,4080A,11,FA13,COGS,17,783475,Johnson,Christine M.,37,20,4.7,4.272727273,4.090909091,4.090909091,3.272727273,3.454545455,3.6363636360000005,3.454545455,0.727272727,0.727272727
41365,WLH  ,2207,11,FA13,COGS,17,783476,Johnson,Christine M.,47,24,4.708333333,3.8,3.8,4.6,3.0,3.6,3.6,3.6,0.6,0.8
