,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,know_rating,prep_rating,audible_rating,expl_rating,attent_rating,note_rating,stimu_rating,rec_course_rating,rec_professor_rating
7815,,,9,FA12,CSE,11,755925,Ord,Richard,190,108,4.814814815,4.301470588,4.207407407,4.169117647,4.007352941000001,3.3059701489999997,3.185185185,4.096296296,0.970588235,0.904411765
8523,PCYNH,109,9,FA12,CSE,30,755935,Ord,Richard,169,97,4.8556701030000005,4.686956522,4.706896552,4.784482758999999,4.637931034,4.336206897,3.6956521739999997,4.330434783,0.939655172,0.99137931
8640,PCYNH,109,9,FA12,CSE,8A,755909,Gillespie,Gary N,178,136,4.301470588,4.814814815,4.785046728999999,4.822429907,4.588785047,3.953271028,4.443396226,4.398148148,0.9639639640000001,0.936936937
8661,PCYNH,109,9,FA12,CSE,8A,755913,Alvarado,Christine J.,152,115,4.686956522,4.8556701030000005,4.8247422680000005,4.845360825,4.721649485,4.391752577,4.762886598,4.65625,0.93814433,0.979381443
8682,PCYNH,109,9,FA12,CSE,8A,762476,Lee,Cynthia Bailey,149,116,4.413793103,4.413793103,4.465517241000001,4.50862069,4.301724138,3.8290598289999997,3.234782609,4.25862069,0.974576271,0.940677966
42452,PETER,110,11,FA13,CSE,11,785772,Ord,Richard,179,98,4.704081633,3.68627451,3.2450980389999997,3.950980392,3.2450980389999997,3.421568627,2.7745098039999996,4.02,0.867924528,0.58490566
42473,PCYNH,109,11,FA13,CSE,11,797084,Papadopoulos,Philip Micha,152,94,4.319148936,3.94017094,3.7241379310000005,3.9487179489999997,3.52991453,3.1794871789999997,3.11965812,4.034188034,0.923076923,0.735042735
43229,PCYNH,109,11,FA13,CSE,30,785785,Ord,Richard,124,45,4.711111111,3.829545455,3.7840909089999997,3.584269663,2.651685393,2.6067415730000003,2.7078651689999997,4.08988764,0.91011236,0.393258427
43250,PCYNH,109,11,FA13,CSE,30,785788,Ord,Richard,183,53,4.6981132080000005,3.877192982,3.842105263,3.912280702,3.087719298,3.0,3.315789474,4.035087719,0.912280702,0.49122807
43333,PCYNH,109,11,FA13,CSE,8A,785759,Alvarado,Christine J.,94,71,4.830985915,4.614285714,4.6,4.623188406000001,4.4927536230000005,3.985507246,4.304347826,4.3382352939999995,0.9,0.942857143
