Building Name,Room,"Registrar
Code",Floor,Area,Capacity,Room Type,"Overflow
Capable",Seating Type,Boards,Floor Type,Acoustics,Ventilation,Windows,"Windows
Darkenability","Window
Covering",Lighting,Lectern,Clock,"Wheelchair
Seats"
102 Marshall College,1,TM102 1,1,894,44,Classroom,No,M - Movable,W - White 16' x 4',C - Carpet,G - Good,Good,2,Poor,B - Blinds,"FL
IN",TT - Tabletop,A - Analog,1
Applied Physics and Mathematics,2301,APM 2301,2,564,39,Classroom,No,M - Movable,"C - Chalk 15' x 4'
C - Chalk 20' x 4'",T - Tile,"P - Poor
REV - Echo in room",Good,10,Poor,B - Blinds,FL,TT - Tabletop,A - Analog,2
Center Hall,101,CENTR 101,1,3428,295,Lecture Hall,No,FN - Fixed and Numbered,C - Chalk 30' x 4',C/C/T - Cement/Carpet/Tile,"P - Poor
REV - Echo in room",Good,1,Excellent,S - Shades,"FL
IN","FS-P - Freestanding, anchored to floor",A - Analog,2
Center Hall,105,CENTR 105,1,1622,146,Lecture Hall,No,FN - Fixed and Numbered,"C - Chalk 4' x 4'
C - Chalk 22' x 4'",C/C - Cement/Carpet,"P - Poor
REV - Echo in room",Good,2,Excellent,C - Curtains,"FL, Dimmable
IN","FS-P - Freestanding, anchored to floor",A - Analog,2
Center Hall,109,CENTR 109,1,1644,147,Lecture Hall,No,FN - Fixed and Numbered,"C - Chalk 4' x 4'
C - Chalk 22' x 4'",C/C - Cement/Carpet,"P - Poor
REV - Echo in room",Good,2,Excellent,C - Curtains,"FL, Dimmable
IN, Dimmable",TT - Tabletop,A - Analog,2
Center Hall,113,CENTR 113,1,1619,146,Lecture Hall,No,FN - Fixed and Numbered,"C - Chalk 4' x 4'
C - Chalk 22' x 4'",C/C - Cement/Carpet,"P - Poor
REV - Echo in room",Good,2,Excellent,S - Shades,"FL, Dimmable
IN, Dimmable",TT - Tabletop,A - Analog,2
Center Hall,115,CENTR 115,1,2143,196,Lecture Hall,No,FN - Fixed and Numbered,C - Chalk 28' x 4',C/C - Cement/Carpet,"P - Poor
REV - Echo in room",N/A,2,Excellent,S - Shades,"FL, Dimmable
IN, Dimmable","FS-P - Freestanding, anchored to floor
TT - Tabletop",A - Analog,2
Center Hall,119,CENTR 119,1,2144,196,Lecture Hall,No,FN - Fixed and Numbered,C - Chalk 28' x 4',C/C - Cement/Carpet,"P - Poor
REV - Echo in room",N/A,2,Excellent,S - Shades,"FL, Dimmable
IN","FS-P - Freestanding, anchored to floor",A - Analog,2
Center Hall,201,CENTR 201,2,454,30,Classroom,No,M - Movable,C - Chalk 14' x 4',T - Tile,F - Fair,Good,2,Excellent,S - Shades,"FL, Dimmable",TT - Tabletop,A - Analog,1
Center Hall,202,CENTR 202,2,255,15,Classroom,No,M - Movable,C - Chalk 14' x 4',T - Tile,"P - Poor
REV - Echo in room",N/A,None,,,FL,TT - Tabletop,A - Analog,1
Center Hall,203,CENTR 203,2,409,32,Classroom,No,M - Movable,C - Chalk 16' x 4',T - Tile,"P - Poor
REV - Echo in room",N/A,1,Excellent,S - Shades,"FL, Dimmable",TT - Tabletop,A - Analog,1
