,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,know_rating,prep_rating,audible_rating,expl_rating,attent_rating,note_rating,stimu_rating,rec_course_rating,rec_professor_rating
16844,CENTR,101,9,FA12,MATH,10A,755409,Stevens,Laura Jeanne,35,25,4.84,4.796440678,4.765536723,4.800677966,4.73039548,4.5943502825,4.74039548025,4.313841808,0.96166666675,1.0
55214,APM  ,B402A,11,FA13,MATH,20A,782157,Stevens,Laura Jeanne,38,17,4.7647058819999994,4.7647058819999994,4.823529412,4.7647058819999994,4.7647058819999994,4.7647058819999994,4.875,4.2352941180000006,1.0,1.0
55235,APM  ,B402A,11,FA13,MATH,20A,782158,Stevens,Laura Jeanne,40,21,4.523809524,4.523809524,4.523809524,4.571428571,4.428571429,4.2380952380000005,4.571428571,4.0,1.0,1.0
55256,APM  ,B402A,11,FA13,MATH,20A,782159,Stevens,Laura Jeanne,37,22,4.8636363639999995,4.8636363639999995,4.909090909,4.8636363639999995,4.772727273,4.6363636360000005,4.8636363639999995,4.3636363639999995,0.954545455,0.954545455
55277,APM  ,B402A,11,FA13,MATH,20A,782160,Stevens,Laura Jeanne,39,18,4.777777778,4.777777778,4.833333333,4.777777778,4.666666667,4.5,4.666666667,4.3888888889999995,0.944444444,0.944444444
55298,APM  ,7421,11,FA13,MATH,20A,782161,Stevens,Laura Jeanne,36,15,4.866666667,4.866666667,4.866666667,5.0,4.733333333,4.866666667,5.0,4.533333333,0.9375,0.9375
55319,APM  ,7421,11,FA13,MATH,20A,782162,Stevens,Laura Jeanne,40,26,4.692307692,4.692307692,4.615384615,4.692307692,4.72,4.538461538,4.615384615,4.346153846,1.0,1.0
55340,WLH  ,2115,11,FA13,MATH,20A,782163,Stevens,Laura Jeanne,38,18,4.777777778,4.777777778,4.722222222,4.777777778,4.722222222,4.666666667,4.833333333,4.277777778,1.0,1.0
55361,WLH  ,2115,11,FA13,MATH,20A,782164,Stevens,Laura Jeanne,40,23,4.869565217,4.869565217,4.869565217,4.869565217,4.826086957,4.652173913,4.9130434780000005,4.260869565,0.956521739,1.0
95766,WLH  ,2114,46,FA14,MATH,10B,817043,Stevens,Laura Jeanne,40,16,4.6875,4.6875,4.75,4.75,4.75,4.6875,4.75,4.25,0.9411764709999999,1.0
